0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,Table 7.1  (cont.),,,,,,,,,,,,,,,
Variables,1958.0,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0
b,0.62,0.62,0.64,0.63,0.62,0.62,0.62,0.61,0.61,0.63,0.64,0.66,0.67,0.66,0.65,0.64
Pn,96.54,104.46,104.04,109.64,122.08,129.08,138.11,154.28,167.85,170.38,175.58,177.83,179.61,204.43,225.26,258.07
S*,256.15,278.42,286.46,296.54,320.2,337.71,364.54,395.0,430.65,454.4,493.63,523.83,547.67,596.7,645.98,719.75
c',0.86,0.82,0.84,0.85,0.83,0.83,0.83,0.8,0.8,0.82,0.82,0.81,0.83,0.81,0.79,0.78
I!,34.89,49.44,46.74,45.31,54.09,58.27,63.05,77.12,86.75,82.29,89.23,100.75,93.49,112.14,134.63,160.1
SP*,256.04,278.34,285.93,295.95,319.54,337.07,364.0,394.44,430.09,453.42,493.12,523.25,546.86,596.04,645.51,719.63
s',0.14,0.18,0.16,0.15,0.17,0.17,0.17,0.2,0.2,0.18,0.18,0.19,0.17,0.19,0.21,0.22
s'*u,0.1,0.15,0.14,0.13,0.15,0.15,0.16,0.19,0.2,0.18,0.18,0.19,0.15,0.17,0.19,0.21
u,0.77,0.84,0.84,0.83,0.87,0.9,0.93,0.98,1.01,0.99,0.99,0.99,0.9,0.88,0.93,0.0
r*',0.47,0.45,0.45,0.46,0.46,0.45,0.45,0.43,0.42,0.42,0.41,0.4,0.42,0.42,0.4,0.39
K g,0.18,0.17,0.16,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.14,0.14,0.15,0.14,0.14
,0.049,0.067,0.062,0.058,0.067,0.07,0.072,0.083,0.086,0.075,0.074,0.076,0.064,0.07,0.077,0.083
"KK
*",710.9,738.0,755.7,775.4,802.3,832.0,872.3,932.3,1014.4,1093.0,1202.5,1320.9,1453.4,1598.9,1737.7,1940.3
